A Tale of Two Cities; Charles Dickens; English; 1859; 200000000
She: A History of Adventure; H. Rider Haggard; English; 1887; 100000000
O Alquimista (The Alchemist); Paulo Coelho; Portuguese; 1988; 65000000
Le Petit Prince (The Little Prince); Antoine de Saint-Exupéry; French; 1943; 140000000
The Catcher in the Rye; J. D. Salinger; English; 1951; 65000000
And Then There Were None; Agatha Christie; English; 1939; 100000000
紅樓夢/红楼梦 (Dream of the Red Chamber); Cao Xueqin; Chinese; 1754–1791; 100000000
The Hobbit 	J. R. R. Tolkien; English; 1937; 100000000
Harry Potter and the Philosopher's Stone; J. K. Rowling; English; 1997; 107000000
The Lion; the Witch and the Wardrobe; C. S. Lewis; English; 1950; 85000000
The Lord of the Rings; J. R. R. Tolkien; English; 1954–1955; 150000000
The Da Vinci Code; Dan Brown; English; 2003; 80000000
Think and Grow Rich; Napoleon Hill; English; 1937; 70000000
Harry Potter and the Half-Blood Prince; J. K. Rowling; English; 2005; 65000000
